M,theta,beta_lower,beta_upper
5.0000,0,11.5370,90.0000
5.0000,1,12.1785,89.7500
5.0000,2,12.8532,89.4996
5.0000,3,13.5608,89.2487
5.0000,4,14.3009,88.9969
5.0000,5,15.0727,88.7439
5.0000,6,15.8755,88.4894
5.0000,7,16.7083,88.2331
5.0000,8,17.5700,87.9746
5.0000,9,18.4597,87.7137
5.0000,10,19.3760,87.4499
5.0000,11,20.3180,87.1829
5.0000,12,21.2845,86.9122
5.0000,13,22.2746,86.6375
5.0000,14,23.2872,86.3582
5.0000,15,24.3217,86.0739
5.0000,16,25.3773,85.7840
5.0000,17,26.4534,85.4880
5.0000,18,27.5495,85.1852
5.0000,19,28.6654,84.8749
5.0000,20,29.8009,84.5563
5.0000,21,30.9560,84.2285
5.0000,22,32.1310,83.8905
5.0000,23,33.3261,83.5413
5.0000,24,34.5419,83.1795
5.0000,25,35.7794,82.8037
5.0000,26,37.0397,82.4123
5.0000,27,38.3242,82.0031
5.0000,28,39.6347,81.5739
5.0000,29,40.9737,81.1218
5.0000,30,42.3443,80.6434
5.0000,31,43.7501,80.1345
5.0000,32,45.1964,79.5898
5.0000,33,46.6896,79.0024
5.0000,34,48.2385,78.3631
5.0000,35,49.8554,77.6594
5.0000,36,51.5582,76.8733
5.0000,37,53.3741,75.9773
5.0000,38,55.3490,74.9252
5.0000,39,57.5711,73.6287
5.0000,40,60.2593,71.8688
5.0000,41,64.6551,68.4037
